id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
178,1970-71,1,23,Espanol,Atletico de Bilbao,1,0,28/02/1971,36543600
179,1970-71,1,23,Granada,Sporting de Gijon,3,0,28/02/1971,36543600
180,1970-71,1,23,Real Sociedad,Las Palmas,1,0,28/02/1971,36543600
181,1970-71,1,23,Real Madrid,Atletico de Madrid,1,0,28/02/1971,36543600
182,1970-71,1,23,Sabadell,Celta de Vigo,3,2,28/02/1971,36543600
183,1970-71,1,23,Sevilla,CD Malaga,1,0,28/02/1971,36543600
184,1970-71,1,23,Valencia,Barcelona,1,1,28/02/1971,36543600
185,1970-71,1,24,Atletico de Madrid,Valencia,3,0,06/03/1971,37062000
186,1970-71,1,24,Atletico de Bilbao,Real Madrid,0,1,07/03/1971,37148400
187,1970-71,1,24,Barcelona,Sevilla,5,2,07/03/1971,37148400
188,1970-71,1,24,Celta de Vigo,Elche,3,0,07/03/1971,37148400
189,1970-71,1,24,Sporting de Gijon,Real Sociedad,2,0,07/03/1971,37148400
190,1970-71,1,24,Las Palmas,Sabadell,5,0,07/03/1971,37148400
191,1970-71,1,24,CD Malaga,Granada,1,0,07/03/1971,37148400
192,1970-71,1,24,Zaragoza,Espanol,2,2,07/03/1971,37148400
193,1970-71,1,25,Elche,Sabadell,0,0,14/03/1971,37753200
194,1970-71,1,25,Espanol,Celta de Vigo,0,1,14/03/1971,37753200
195,1970-71,1,25,Sporting de Gijon,Las Palmas,2,0,14/03/1971,37753200
196,1970-71,1,25,Granada,Barcelona,0,2,14/03/1971,37753200
197,1970-71,1,25,Real Sociedad,CD Malaga,1,2,14/03/1971,37753200
198,1970-71,1,25,Real Madrid,Zaragoza,2,1,14/03/1971,37753200
199,1970-71,1,25,Sevilla,Atletico de Madrid,1,1,14/03/1971,37753200
200,1970-71,1,25,Valencia,Atletico de Bilbao,4,0,14/03/1971,37753200
201,1970-71,1,26,Atletico de Madrid,Granada,3,0,20/03/1971,38271600
202,1970-71,1,26,Atletico de Bilbao,Sevilla,1,0,21/03/1971,38358000
203,1970-71,1,26,Barcelona,Real Sociedad,4,0,21/03/1971,38358000
204,1970-71,1,26,Celta de Vigo,Real Madrid,2,0,21/03/1971,38358000
205,1970-71,1,26,Elche,Las Palmas,2,0,21/03/1971,38358000
206,1970-71,1,26,CD Malaga,Sporting de Gijon,3,0,21/03/1971,38358000
207,1970-71,1,26,Sabadell,Espanol,0,0,21/03/1971,38358000
208,1970-71,1,26,Zaragoza,Valencia,0,2,21/03/1971,38358000
209,1970-71,1,27,Espanol,Elche,2,0,28/03/1971,38962800
210,1970-71,1,27,Sporting de Gijon,Barcelona,0,2,28/03/1971,38962800
211,1970-71,1,27,Granada,Atletico de Bilbao,2,2,28/03/1971,38962800
212,1970-71,1,27,Las Palmas,CD Malaga,1,2,28/03/1971,38962800
213,1970-71,1,27,Real Sociedad,Atletico de Madrid,0,1,28/03/1971,38962800
214,1970-71,1,27,Real Madrid,Sabadell,3,1,28/03/1971,38962800
215,1970-71,1,27,Sevilla,Zaragoza,4,2,28/03/1971,38962800
216,1970-71,1,27,Valencia,Celta de Vigo,2,1,28/03/1971,38962800
217,1970-71,1,28,Atletico de Bilbao,Real Sociedad,1,1,04/04/1971,39564000
218,1970-71,1,28,Atletico de Madrid,Sporting de Gijon,2,0,04/04/1971,39564000
219,1970-71,1,28,Barcelona,CD Malaga,1,0,04/04/1971,39564000
220,1970-71,1,28,Celta de Vigo,Sevilla,2,0,04/04/1971,39564000
221,1970-71,1,28,Elche,Real Madrid,0,1,04/04/1971,39564000
222,1970-71,1,28,Las Palmas,Espanol,0,0,04/04/1971,39564000
223,1970-71,1,28,Sabadell,Valencia,0,1,04/04/1971,39564000
224,1970-71,1,28,Zaragoza,Granada,0,0,04/04/1971,39564000
225,1970-71,1,29,CD Malaga,Atletico de Madrid,0,0,10/04/1971,40082400
226,1970-71,1,29,Real Madrid,Espanol,1,0,10/04/1971,40082400
227,1970-71,1,29,Sporting de Gijon,Atletico de Bilbao,3,1,11/04/1971,40168800
228,1970-71,1,29,Granada,Celta de Vigo,1,0,11/04/1971,40168800
229,1970-71,1,29,Real Sociedad,Zaragoza,2,0,11/04/1971,40168800
230,1970-71,1,29,Sevilla,Sabadell,1,0,11/04/1971,40168800
231,1970-71,1,29,Valencia,Elche,3,0,11/04/1971,40168800
232,1970-71,1,29,Barcelona,Las Palmas,2,0,12/04/1971,40255200
233,1970-71,1,30,Atletico de Bilbao,CD Malaga,2,1,18/04/1971,40773600
234,1970-71,1,30,Atletico de Madrid,Barcelona,1,1,18/04/1971,40773600
235,1970-71,1,30,Celta de Vigo,Real Sociedad,0,0,18/04/1971,40773600
236,1970-71,1,30,Elche,Sevilla,1,0,18/04/1971,40773600
237,1970-71,1,30,Espanol,Valencia,1,0,18/04/1971,40773600
238,1970-71,1,30,Las Palmas,Real Madrid,0,0,18/04/1971,40773600
239,1970-71,1,30,Sabadell,Granada,0,1,18/04/1971,40773600
240,1970-71,1,30,Zaragoza,Sporting de Gijon,0,0,18/04/1971,40773600
241,1970-71,2,1,Cadiz,Villarreal,1,2,05/09/1970,21333600
242,1970-71,2,1,Deportivo,Mallorca,2,1,06/09/1970,21420000
243,1970-71,2,1,Moscardo,Rayo Vallecano,0,3,06/09/1970,21420000
244,1970-71,2,1,Calvo Sotelo,Burgos,0,1,06/09/1970,21420000
245,1970-71,2,1,Ontinyent,Pontevedra,2,2,06/09/1970,21420000
246,1970-71,2,1,Logrones,Betis,2,2,06/09/1970,21420000
247,1970-71,2,1,Castellon,Santander,2,1,06/09/1970,21420000
248,1970-71,2,1,Langreo,Cordoba,1,0,06/09/1970,21420000
249,1970-71,2,1,Sant Andreu,Oviedo,2,0,06/09/1970,21420000
250,1970-71,2,1,Hercules,Racing de Ferrol,2,0,06/09/1970,21420000
