id,division,round,visitorGoals,timestamp
374,2,14,0,29286000
375,2,14,1,29286000
376,2,14,1,29286000
377,2,14,1,29286000
378,2,14,0,29286000
379,2,14,2,29286000
380,2,14,1,29286000
381,2,15,0,29890800
382,2,15,1,29890800
383,2,15,1,29890800
384,2,15,0,29890800
385,2,15,1,29890800
386,2,15,0,29890800
387,2,15,0,29890800
388,2,15,1,29890800
389,2,15,0,29890800
390,2,15,1,29890800
391,2,16,0,30495600
392,2,16,0,30495600
393,2,16,0,30495600
394,2,16,0,30495600
395,2,16,0,30495600
396,2,16,1,30495600
397,2,16,1,30495600
398,2,16,0,30495600
399,2,16,1,30495600
400,2,16,0,30495600
401,2,17,0,31100400
402,2,17,0,31100400
403,2,17,1,31100400
404,2,17,0,31100400
405,2,17,0,31100400
406,2,17,2,31100400
407,2,17,3,31100400
408,2,17,0,31100400
409,2,17,0,31100400
410,2,17,1,31186800
411,2,18,0,31705200
412,2,18,0,31705200
413,2,18,2,31705200
414,2,18,0,31705200
415,2,18,2,31705200
416,2,18,1,31705200
417,2,18,1,31705200
418,2,18,0,31705200
419,2,18,1,31705200
420,2,18,0,33778800
421,2,19,1,32310000
422,2,19,1,32310000
423,2,19,0,32310000
424,2,19,1,32310000
425,2,19,0,32310000
426,2,19,1,32310000
427,2,19,1,32310000
428,2,19,0,32310000
429,2,19,0,32310000
430,2,19,1,32310000
431,2,20,2,32914800
432,2,20,1,32914800
433,2,20,1,32914800
434,2,20,0,32914800
435,2,20,0,32914800
436,2,20,1,32914800
437,2,20,0,32914800
438,2,20,0,32914800
439,2,20,1,33778800
440,2,20,0,34988400
441,2,21,1,33519600
442,2,21,1,33519600
443,2,21,0,33519600
444,2,21,0,33519600
445,2,21,1,33519600
446,2,21,0,33519600
447,2,21,0,33519600
448,2,21,1,33519600
449,2,21,0,33519600
450,2,21,0,33519600
451,2,22,1,34124400
452,2,22,2,34124400
453,2,22,2,34124400
454,2,22,2,34124400
455,2,22,0,34124400
456,2,22,0,34124400
457,2,22,2,34124400
458,2,22,0,34124400
459,2,22,0,34124400
460,2,22,1,34124400
461,2,23,1,34729200
462,2,23,1,34729200
